,xkm,ykm,xm,ym,Longitude,Latitude,mean_pred,var_pred,sigma_pred
14033,-76.4684179923,-225.7767873257,-76468.4179923462,-225776.7873256996,-120.8490584086,35.9819718431,-582.9,1619.5,40.2
22178,-77.0203900654,-220.7297992951,-77020.3900654357,-220729.7992950697,-120.8556925986,36.0273493478,-340.1,1217.1,34.9
8546,-77.966627905,-228.6157180929,-77966.6279050176,-228615.7180929288,-120.865404977,35.9562994554,-539.7,930.8,30.5
10202,-77.3358026786,-227.7482670252,-77335.8026786296,-227748.2670251644,-120.8584905832,35.9641581962,-598.5,590.3,24.3
18244,-75.9952990726,-223.5687300623,-75995.2990725553,-223568.730062299,-120.8440237183,36.001882214,-369.5,963.4,31.0
3145,-70.1601657285,-231.7700856121,-70160.1657284668,-231770.0856120725,-120.7784723411,35.9285186481,-659.8,4638.9,68.1
14607,-80.1745161974,-225.4613505738,-80174.5161973754,-225461.3505737852,-120.8902391733,35.9845047972,-669.8,749.6,27.4
20556,-78.2820405182,-222.0704054907,-78282.0405182116,-222070.4054907058,-120.8695720881,36.0151808932,-421.5,738.8,27.2
20921,-82.6978171029,-221.7549687388,-82697.8171029272,-221754.9687387914,-120.9186543533,36.0176449517,-601.3,2009.8,44.8
14032,-76.5472711456,-225.7767873257,-76547.2711456447,-225776.7873256996,-120.8499338988,35.9819654842,-579.5,1518.3,39.0
5670,-72.6046134807,-230.1929018525,-72604.6134807201,-230192.9018525007,-120.8057425048,35.9425298934,-553.9,933.5,30.6
11741,-75.4433269995,-226.9596751454,-75443.3269994658,-226959.6751453784,-120.8375609969,35.9714079116,-697.7,1973.2,44.4
1080,-75.1279143863,-233.4261285596,-75127.9143862719,-233426.128559623,-120.833428451,35.9132336336,-818.9,1841.4,42.9
7736,-71.5795224878,-229.0888732208,-71579.5224878397,-229088.8732208004,-120.7944695803,35.9525442221,-562.9,2110.6,45.9
4933,-75.6798864594,-230.5871977924,-75679.8864593613,-230587.1977923936,-120.8398303798,35.9387409407,-502.6,1277.5,35.7
10502,-77.4935089852,-227.5905486492,-77493.5089852266,-227590.5486492072,-120.8602570417,35.9655648038,-603.7,605.2,24.6
18997,-79.7013972776,-223.0955749344,-79701.3972775844,-223095.5749344274,-120.8852313449,36.0058363485,-592.3,845.8,29.1
11659,-81.9092855699,-226.9596751454,-81909.2855699422,-226959.6751453784,-120.909340913,35.9708717704,-915.4,5424.0,73.6
22453,-81.9881387232,-220.3355033552,-81988.1387232407,-220335.5033551767,-120.9109228266,36.0304813484,-517.7,884.9,29.7
15738,-76.5472711456,-224.9093362579,-76547.2711456447,-224909.3362579351,-120.8500202504,35.9897725028,-483.6,1155.4,34.0
17265,-74.1816765467,-224.1207443781,-74181.67654669,-224120.7443781491,-120.8238289056,35.9970577156,-386.2,1116.2,33.4
18562,-83.0132297161,-223.3321524984,-83013.2297161211,-223332.1524983632,-120.921987541,36.00342311,-597.5,1267.4,35.6
221,-73.6297044736,-234.4512980033,-73629.7044736005,-234451.2980033447,-120.8167109857,35.904124079,-865.1,1065.9,32.6
6735,-69.1350747356,-229.6408875367,-69135.0747355864,-229640.8875366506,-120.7672899875,35.9477571964,-481.2,1488.5,38.6
11520,-80.8841945771,-227.0385343334,-80884.1945770618,-227038.534333357,-120.897952946,35.9702499754,-821.2,3458.5,58.8
3869,-77.966627905,-231.2180712962,-77966.6279050176,-231218.0712962224,-120.8651414018,35.9328778851,-748.0,1107.3,33.3
6420,-70.8698441082,-229.7986059126,-70869.8441081533,-229798.6059126078,-120.7865277902,35.9462097517,-564.0,1275.5,35.7
9791,-74.1816765467,-227.9848445891,-74181.67654669,-227984.8445891002,-120.8234561957,35.9622807893,-637.7,1086.9,33.0
7533,-75.9164459193,-229.1677324088,-75916.4459192568,-229167.732408779,-120.8425953652,35.9514974767,-526.2,676.5,26.0
16184,-77.3358026786,-224.672758694,-77335.8026786296,-224672.7586939992,-120.8587998295,35.9918377258,-445.3,653.9,25.6
