,Longitude,Latitude,xm,ym,zm_depth,zm,xkm,ykm,zkm,dem_m,date,mean_tds_t,var_tds_t,sigma_tds_t,mean_tds,sigma_tds,mean_temp_t,var_temp_t,sigma_temp_t,mean_temp,sigma_temp,mean_res_t,var_res_t,sigma_res_t,mean_res,sigma_res,mean_por_t,var_por_t,sigma_por_t,mean_por,sigma_por,mean_bicarb,var_bicarb,sigma_bicarb
293837,-120.8228581508,35.9137073634,-74.1746408918,-233.3818208832,401.1385498046875,-140.0,-74.1746408918,-233.3818208832,-0.14,261.14,2017.667,7.27953,0.23039,0.48,1450.0,828.0,0.27487,0.06235,0.25,38.3,11.9,2.50686,0.11293,0.336,12.3,4.5,-1.1833,0.0128,0.1131,0.3063,0.035,0.3658,0.0703,0.2651
120610,-120.84020845,35.9515146363,-75.7013775622,-229.1677345472,887.0693664550781,-630.0,-75.7013775622,-229.1677345472,-0.63,257.07,2017.667,9.07535,0.3178,0.564,8737.0,6264.0,0.6798,0.05886,0.243,68.1,19.0,1.10922,0.14984,0.387,3.0,1.3,-1.1316,0.0114,0.1068,0.3225,0.0347,0.1251,0.074,0.272
161527,-120.8731740186,35.9751441818,-78.64725876,-226.5156277539,661.1010284423828,-510.0,-78.64725876,-226.5156277539,-0.51,151.1,2017.667,8.71942,0.12459,0.353,6121.0,2373.0,0.51324,0.06053,0.246,54.4,15.8,1.42308,0.06868,0.262,4.1,1.1,-1.1534,0.0111,0.1054,0.3156,0.0335,0.1513,0.0231,0.152
362999,-120.7638671334,35.9278850907,-68.8444607749,-231.8511805755,633.1939697265625,-260.0,-68.8444607749,-231.8511805755,-0.26,373.19,2017.667,8.10083,0.33558,0.579,3297.0,2462.0,0.39453,0.06844,0.262,45.9,14.8,1.86124,0.16016,0.4,6.4,2.9,-1.0971,0.0144,0.12,0.3338,0.0405,0.3203,0.0717,0.2678
466958,-120.8245931807,35.987746606,-74.25949168,-225.15464235,216.5130920410156,100.0,-74.25949168,-225.15464235,0.1,316.51,2017.667,7.30255,0.16778,0.41,1484.0,690.0,0.08499,0.06515,0.255,27.9,9.5,2.53791,0.0845,0.291,12.7,3.9,-1.1617,0.0122,0.1105,0.313,0.0349,0.3097,0.0598,0.2445
348244,-120.7933626421,35.9026802422,-71.5261517348,-234.6295789968,707.6416931152344,-390.0,-71.5261517348,-234.6295789968,-0.39,317.64,2017.667,8.07246,0.31871,0.565,3205.0,2303.0,0.43278,0.06659,0.258,48.5,15.2,1.8576,0.15244,0.39,6.4,2.8,-1.0861,0.014,0.1183,0.3375,0.0404,0.3222,0.0701,0.2648
90477,-120.8991994675,35.9830206969,-80.9830158468,-225.6186218567,768.9328918457031,-640.0,-80.9830158468,-225.6186218567,-0.64,128.93,2017.667,8.91137,0.14953,0.387,7416.0,3209.0,0.5153,0.06295,0.251,54.5,16.2,1.32571,0.07918,0.281,3.8,1.1,-1.1763,0.0123,0.1109,0.3084,0.0345,0.2066,0.03,0.1732
109911,-120.8905243179,36.0019243333,-80.1820163158,-223.525750427,25.726821899414062,110.0,-80.1820163158,-223.525750427,0.11,135.73,2017.667,6.20912,0.14017,0.374,497.0,207.0,-0.06534,0.06455,0.254,21.0,7.6,3.3046,0.07745,0.278,27.2,8.0,-1.0911,0.0139,0.1179,0.3358,0.04,0.5801,0.0306,0.1749
417406,-120.8020377917,35.9798700909,-72.2356978445,-226.047172861,785.174560546875,-510.0,-72.2356978445,-226.047172861,-0.51,275.17,2017.667,8.84886,0.32164,0.567,6966.0,5040.0,0.5934,0.06867,0.262,60.7,18.9,1.31621,0.15437,0.393,3.7,1.6,-1.1689,0.0138,0.1175,0.3107,0.0369,0.1328,0.0633,0.2516
91482,-120.9026695273,35.986171303,-81.2921914895,-225.2656131072,451.2644958496094,-310.0,-81.2921914895,-225.2656131072,-0.31,141.26,2017.667,7.43236,0.16544,0.407,1690.0,779.0,0.31085,0.0638,0.253,40.5,12.7,2.38572,0.08486,0.291,10.9,3.4,-1.1594,0.012,0.1095,0.3137,0.0347,0.4062,0.0546,0.2337
166836,-120.8662338989,35.984596,-78.0125810237,-225.4712440114,255.73165893554688,-70.0,-78.0125810237,-225.4712440114,-0.07,185.73,2017.667,7.7195,0.16156,0.402,2252.0,1022.0,0.1486,0.06236,0.25,31.2,10.0,2.24099,0.08252,0.287,9.4,2.9,-1.1672,0.0117,0.1082,0.3112,0.034,0.2716,0.0617,0.2484
109935,-120.8922593478,36.0019243333,-80.338232257,-223.5242816381,595.0614013671875,-460.0,-80.338232257,-223.5242816381,-0.46,135.06,2017.667,8.9684,0.17808,0.422,7851.0,3789.0,0.42106,0.06467,0.254,47.7,14.7,1.29491,0.09107,0.302,3.7,1.2,-1.131,0.0121,0.11,0.3227,0.0358,0.2171,0.0487,0.2207
