,Longitude,Latitude,xm,ym,zm_depth,zm,xkm,ykm,zkm,dem_m,date,mean_tds_t,var_tds_t,sigma_tds_t,mean_tds,sigma_tds,mean_temp_t,var_temp_t,sigma_temp_t,mean_temp,sigma_temp,mean_res_t,var_res_t,sigma_res_t,mean_res,sigma_res,mean_por_t,var_por_t,sigma_por_t,mean_por,sigma_por,mean_bicarb,var_bicarb,sigma_bicarb
144274,-120.8471485697,35.9578158484,-76.3203986337,-228.4621003019,700.3253173828125,-510.0,-76.3203986337,-228.4621003019,-0.51,190.33,2017.667,8.92052,0.13401,0.366,7484.0,3030.0,0.58837,0.04807,0.219,60.3,14.8,1.25663,0.07111,0.267,3.5,1.0,-1.1534,0.0114,0.1068,0.3156,0.034,0.1108,0.0255,0.1597
69657,-120.9148147368,35.9609664545,-82.4129464438,-228.0554204187,130.6822509765625,140.0,-82.4129464438,-228.0554204187,0.14,270.68,2017.667,6.17145,0.23935,0.489,479.0,281.0,-0.0332,0.06606,0.257,22.4,8.1,3.31619,0.1208,0.348,27.6,10.5,-1.0983,0.0151,0.1229,0.3334,0.0414,0.5522,0.0427,0.2066
230805,-120.9061395872,36.0050749394,-81.5846131535,-223.1623858382,406.9393997192383,-280.0,-81.5846131535,-223.1623858382,-0.28,126.94,2017.667,7.6153,0.17526,0.419,2029.0,969.0,0.28115,0.06461,0.254,38.6,12.3,2.28232,0.08883,0.298,9.8,3.1,-1.1713,0.0124,0.1114,0.31,0.0348,0.3801,0.0638,0.2526
473210,-120.8228581508,35.9987737273,-74.0926123512,-223.9308480815,900.4606323242188,-560.0,-74.0926123512,-223.9308480815,-0.56,340.46,2017.667,9.51045,0.46264,0.68,13500.0,13049.0,0.65576,0.0725,0.269,66.0,21.1,0.82224,0.2133,0.462,2.3,1.2,-1.1216,0.0163,0.1277,0.3258,0.0421,0.0837,0.1237,0.3517
418835,-120.8297982705,35.940487515,-74.7741848266,-230.4011134866,247.99899291992188,10.0,-74.7741848266,-230.4011134866,0.01,258.0,2017.667,6.78198,0.11945,0.346,882.0,333.0,0.13262,0.05623,0.237,30.3,9.1,2.8875,0.06446,0.254,17.9,4.8,-1.2051,0.0109,0.1044,0.2997,0.0315,0.3158,0.0508,0.2254
199070,-120.8523536595,36.0129514546,-76.7342441176,-222.3321823777,428.46624755859375,-110.0,-76.7342441176,-222.3321823777,-0.11,318.47,2017.667,7.58644,0.23718,0.487,1971.0,1148.0,0.26439,0.06573,0.256,37.6,12.2,2.28509,0.11622,0.341,9.8,3.7,-1.1424,0.0136,0.1166,0.3191,0.0376,0.3715,0.0688,0.2623
410281,-120.7673371932,35.9530899393,-69.1345326892,-229.048378124,873.8105163574219,-480.0,-69.1345326892,-229.048378124,-0.48,393.81,2017.667,8.72482,0.26828,0.518,6154.0,3904.0,0.59441,0.07027,0.265,60.8,19.2,1.39361,0.1308,0.362,4.0,1.6,-1.1564,0.0145,0.1204,0.3146,0.0383,0.1657,0.0633,0.2516
480638,-120.84194348,36.0145267576,-75.7955246564,-222.1655331379,284.7622375488281,10.0,-75.7955246564,-222.1655331379,0.01,294.76,2017.667,7.66276,0.3029,0.55,2128.0,1472.0,0.18475,0.06697,0.259,33.1,11.1,2.2543,0.14537,0.381,9.5,4.1,-1.1305,0.0139,0.1179,0.3229,0.0385,0.3543,0.0715,0.2674
179459,-120.864498869,35.9908972121,-77.8499456734,-224.7725883864,435.3301239013672,-200.0,-77.8499456734,-224.7725883864,-0.2,235.33,2017.667,7.67588,0.16638,0.408,2156.0,997.0,0.29666,0.06232,0.25,39.6,12.2,2.2189,0.08487,0.291,9.2,2.9,-1.1422,0.0122,0.1105,0.3191,0.0356,0.3911,0.0579,0.2406
315893,-120.8384734201,35.9215838786,-75.5744676032,-232.4944187132,100.08326721191406,100.0,-75.5744676032,-232.4944187132,0.1,200.08,2017.667,6.61625,0.14108,0.376,747.0,312.0,0.07985,0.06146,0.248,27.7,9.0,2.98213,0.07413,0.272,19.7,5.7,-1.1253,0.0118,0.1086,0.3246,0.0356,0.4367,0.0568,0.2383
40677,-120.8506186296,35.9341863029,-76.6565654286,-231.0845494883,723.0795593261719,-490.0,-76.6565654286,-231.0845494883,-0.49,233.08,2017.667,8.94701,0.13376,0.366,7685.0,3108.0,0.48626,0.04049,0.201,52.3,11.6,1.28923,0.06967,0.264,3.6,1.0,-1.1449,0.0115,0.1072,0.3183,0.0344,0.1945,0.0323,0.1797
44838,-120.8367383902,35.9452134241,-75.3949177551,-229.8705676239,440.45481872558594,-190.0,-75.3949177551,-229.8705676239,-0.19,250.45,2017.667,8.18027,0.17419,0.417,3570.0,1699.0,0.27344,0.04778,0.219,38.2,9.8,1.87119,0.0867,0.294,6.5,2.0,-1.116,0.0123,0.1109,0.3276,0.0367,0.3281,0.069,0.2627
205381,-120.8697039588,36.0113761515,-78.2977895184,-222.4930195744,414.8350677490234,-180.0,-78.2977895184,-222.4930195744,-0.18,234.84,2017.667,7.67919,0.1781,0.422,2163.0,1044.0,0.28209,0.06454,0.254,38.7,12.3,2.22864,0.08988,0.3,9.3,3.0,-1.1556,0.0128,0.1131,0.3149,0.036,0.3752,0.0654,0.2557
475689,-120.8350033603,36.0034996364,-75.1815507974,-223.3962198045,441.4937438964844,-70.0,-75.1815507974,-223.3962198045,-0.07,371.49,2017.667,7.68656,0.27122,0.521,2179.0,1393.0,0.25672,0.06576,0.256,37.2,12.1,2.21403,0.13122,0.362,9.2,3.7,-1.1317,0.0138,0.1175,0.3225,0.0383,0.3626,0.0702,0.265
322133,-120.8315333004,35.9263097877,-74.9443419641,-231.9748840483,130.53744506835938,130.0,-74.9443419641,-231.9748840483,0.13,260.54,2017.667,6.35305,0.14192,0.377,574.0,241.0,0.05457,0.05597,0.237,26.4,8.1,3.15737,0.07363,0.271,23.5,6.7,-1.1117,0.0121,0.11,0.329,0.0365,0.4642,0.0581,0.241
466662,-120.8280632406,35.986171303,-74.5735118405,-225.3269396674,681.0491333007812,-430.0,-74.5735118405,-225.3269396674,-0.43,251.05,2017.667,8.77421,0.20117,0.449,6465.0,3375.0,0.49631,0.06529,0.256,53.1,16.3,1.36947,0.10154,0.319,3.9,1.4,-1.1455,0.0126,0.1122,0.3181,0.036,0.056,0.0424,0.2059
52864,-120.8749090485,35.9530899393,-78.8261413905,-228.9644383874,255.98863220214844,-120.0,-78.8261413905,-228.9644383874,-0.12,135.99,2017.667,7.20835,0.12374,0.352,1351.0,521.0,0.10686,0.02469,0.157,29.0,4.3,2.6425,0.06173,0.248,14.0,3.7,-1.2389,0.0109,0.1044,0.2897,0.0305,0.2969,0.0611,0.2472
400851,-120.7708072531,35.9609664545,-69.4400518801,-228.1707474498,420.1879577636719,-10.0,-69.4400518801,-228.1707474498,-0.01,410.19,2017.667,7.67146,0.26033,0.51,2146.0,1333.0,0.20033,0.06854,0.262,34.0,11.5,2.27315,0.12604,0.355,9.7,3.8,-1.1725,0.014,0.1183,0.3096,0.037,0.3575,0.071,0.2665
14272,-120.84194348,35.9137073634,-75.8949989436,-233.3667160792,626.1255645751953,-480.0,-75.8949989436,-233.3667160792,-0.48,146.13,2017.667,8.48508,0.19323,0.44,4842.0,2462.0,0.53357,0.06337,0.252,55.9,16.7,1.52315,0.09882,0.314,4.6,1.6,-1.0666,0.0123,0.1109,0.3442,0.0385,0.2426,0.0367,0.1916
411874,-120.772542283,35.9609664545,-69.5963528282,-228.1694752419,362.7407531738281,60.0,-69.5963528282,-228.1694752419,0.06,422.74,2017.667,7.25612,0.22534,0.475,1417.0,797.0,0.13638,0.06848,0.262,30.5,10.6,2.57793,0.11056,0.333,13.2,4.8,-1.1826,0.0136,0.1166,0.3065,0.0361,0.3838,0.0692,0.2631
142956,-120.8679689288,35.9704182727,-78.1832536422,-227.0449894941,67.55583190917969,80.0,-78.1832536422,-227.0449894941,0.08,147.56,2017.667,6.51197,0.11496,0.339,673.0,249.0,0.05148,0.05742,0.24,26.3,8.2,3.03706,0.06474,0.254,20.8,5.6,-1.1038,0.0118,0.1086,0.3316,0.0363,0.3974,0.0202,0.1421
225416,-120.887054258,36.030279788,-79.8401073937,-220.3782682994,107.17106628417967,100.0,-79.8401073937,-220.3782682994,0.1,207.17,2017.667,7.58631,0.21328,0.462,1971.0,1069.0,0.04011,0.06799,0.261,25.7,9.2,2.34671,0.10741,0.328,10.5,3.7,-1.0933,0.014,0.1183,0.3351,0.0401,0.4261,0.0573,0.2394
315039,-120.8384734201,35.9168579695,-75.5791111239,-233.0194608655,551.5023651123047,-340.0,-75.5791111239,-233.0194608655,-0.34,211.5,2017.667,7.91888,0.18143,0.426,2749.0,1342.0,0.45208,0.06229,0.25,49.9,14.9,1.9262,0.0919,0.303,6.9,2.2,-1.0635,0.0121,0.11,0.3452,0.0383,0.2874,0.0611,0.2472
228277,-120.8731740186,36.033430394,-78.587615708,-220.0398164752,667.5023040771484,-450.0,-78.587615708,-220.0398164752,-0.45,217.5,2017.667,9.15559,0.35289,0.594,9467.0,7347.0,0.58779,0.07158,0.268,60.2,19.3,1.11331,0.16775,0.41,3.0,1.4,-1.1613,0.0148,0.1217,0.3131,0.0385,0.1234,0.0794,0.2818
305813,-120.8159180311,35.9184332725,-73.5445367944,-232.8621853947,595.6708679199219,-260.0,-73.5445367944,-232.8621853947,-0.26,335.67,2017.667,8.08034,0.23916,0.489,3230.0,1892.0,0.39049,0.06039,0.246,45.6,13.5,1.86894,0.11648,0.341,6.5,2.4,-1.0861,0.0131,0.1145,0.3375,0.039,0.3241,0.0708,0.2661
285454,-120.8141830012,35.9089814543,-73.3971679427,-233.9136131385,809.2025146484375,-540.0,-73.3971679427,-233.9136131385,-0.54,269.2,2017.667,8.95861,0.15056,0.388,7775.0,3379.0,0.57315,0.0644,0.254,59.0,17.7,1.23495,0.08062,0.284,3.4,1.0,-1.1095,0.013,0.114,0.3297,0.038,0.2513,0.0276,0.1661
454087,-120.8245931807,35.9751441818,-74.2716698544,-226.5548063484,913.663818359375,-630.0,-74.2716698544,-226.5548063484,-0.63,283.66,2017.667,8.8093,0.28942,0.538,6696.0,4484.0,0.61094,0.06625,0.257,62.1,18.9,1.33374,0.14018,0.374,3.8,1.6,-1.1739,0.0128,0.1131,0.3092,0.0353,0.1082,0.0558,0.2362
381704,-120.7864225224,35.9357616059,-70.8699880459,-230.9594796022,699.7137145996094,-320.0,-70.8699880459,-230.9594796022,-0.32,379.71,2017.667,8.63615,0.25585,0.506,5632.0,3456.0,0.44322,0.06567,0.256,49.2,15.3,1.46593,0.12464,0.353,4.3,1.7,-1.074,0.0133,0.1153,0.3416,0.0398,0.245,0.0662,0.2573
94787,-120.909609647,35.9956231212,-81.9071071059,-224.209519569,608.8283233642578,-470.0,-81.9071071059,-224.209519569,-0.47,138.83,2017.667,8.7629,0.18484,0.43,6393.0,3159.0,0.41459,0.06508,0.255,47.2,14.7,1.44033,0.09398,0.307,4.2,1.4,-1.1255,0.0124,0.1114,0.3245,0.0365,0.2888,0.0523,0.2287
352114,-120.7898925822,35.9089814543,-71.2074807708,-233.9321373554,846.7858581542969,-570.0,-71.2074807708,-233.9321373554,-0.57,276.79,2017.667,9.0621,0.20713,0.455,8622.0,4588.0,0.56246,0.06727,0.259,58.2,18.0,1.15941,0.10428,0.323,3.2,1.1,-1.1067,0.0137,0.117,0.3306,0.0391,0.1975,0.045,0.2121
286097,-120.8055078516,35.9089814543,-72.6151373555,-233.9202933317,845.8706207275391,-590.0,-72.6151373555,-233.9202933317,-0.59,255.87,2017.667,9.06454,0.17152,0.414,8643.0,4074.0,0.59257,0.06528,0.255,60.6,18.3,1.16534,0.08955,0.299,3.2,1.0,-1.1326,0.0132,0.1149,0.3222,0.0374,0.2009,0.0334,0.1828
336739,-120.795097672,35.8837766058,-71.7001838489,-236.728413602,678.4390258789062,-420.0,-71.7001838489,-236.728413602,-0.42,258.44,2017.667,7.8407,0.3458,0.588,2542.0,1942.0,0.42348,0.06799,0.261,47.8,15.3,2.0242,0.16467,0.406,7.6,3.5,-1.1009,0.0146,0.1208,0.3326,0.0406,0.3376,0.0716,0.2676
235097,-120.9009344974,36.0161020607,-81.1043425228,-221.9416975938,425.7496948242188,-290.0,-81.1043425228,-221.9416975938,-0.29,135.75,2017.667,7.98261,0.16943,0.412,2930.0,1370.0,0.32659,0.06608,0.257,41.4,13.3,2.00945,0.0864,0.294,7.5,2.3,-1.1564,0.0124,0.1114,0.3146,0.0354,0.3404,0.0645,0.254
70257,-120.9148147368,35.9656923636,-82.4078800241,-227.5303688788,644.426025390625,-340.0,-82.4078800241,-227.5303688788,-0.34,304.43,2017.667,7.21393,0.22793,0.477,1358.0,770.0,0.33777,0.06497,0.255,42.1,13.3,2.50609,0.11271,0.336,12.3,4.5,-1.1422,0.0125,0.1118,0.3191,0.036,0.4157,0.0558,0.2362
366981,-120.7777473728,35.9231591816,-70.0997137757,-232.366056915,483.3355712890625,-130.0,-70.0997137757,-232.366056915,-0.13,353.34,2017.667,7.62909,0.28557,0.534,2057.0,1364.0,0.27358,0.06676,0.258,38.2,12.5,2.26098,0.13753,0.371,9.6,3.9,-1.1549,0.014,0.1183,0.3151,0.0377,0.3617,0.0718,0.268
440282,-120.819388091,35.9688429696,-73.8089062001,-227.2589496747,388.4614868164063,-170.0,-73.8089062001,-227.2589496747,-0.17,218.46,2017.667,8.09383,0.2558,0.506,3274.0,2009.0,0.25532,0.06378,0.253,37.1,11.8,1.94095,0.12434,0.353,7.0,2.7,-1.129,0.0127,0.1127,0.3234,0.0368,0.3177,0.0702,0.265
371355,-120.7812174326,35.9294603938,-70.4067005881,-231.6634228021,500.7221984863281,-130.0,-70.4067005881,-231.6634228021,-0.13,370.72,2017.667,7.67604,0.2924,0.541,2156.0,1454.0,0.27922,0.06639,0.258,38.5,12.5,2.21944,0.14058,0.375,9.2,3.8,-1.1432,0.0139,0.1179,0.3188,0.038,0.3578,0.072,0.2683
465897,-120.819388091,35.986171303,-73.7922669443,-225.3337275342,333.25927734375,20.0,-73.7922669443,-225.3337275342,0.02,353.26,2017.667,7.64633,0.25195,0.502,2093.0,1271.0,0.15526,0.065,0.255,31.5,10.4,2.30103,0.12144,0.348,10.0,3.8,-1.1751,0.0129,0.1136,0.3088,0.0354,0.3199,0.0672,0.2592
443715,-120.8072428815,35.9609664545,-72.7223668254,-228.1434304079,184.73260498046875,140.0,-72.7223668254,-228.1434304079,0.14,324.73,2017.667,7.06211,0.16854,0.411,1167.0,544.0,0.01354,0.06542,0.256,24.5,8.6,2.70582,0.0873,0.295,15.0,4.7,-1.1089,0.0127,0.1127,0.3299,0.0375,0.4244,0.0622,0.2494
326375,-120.8350033603,35.9341863029,-75.2493758452,-231.0970591866,666.6156005859375,-380.0,-75.2493758452,-231.0970591866,-0.38,286.62,2017.667,8.86875,0.13879,0.373,7106.0,2939.0,0.47514,0.05348,0.231,51.5,13.8,1.26339,0.07342,0.271,3.5,1.0,-1.0597,0.0114,0.1068,0.3466,0.0373,0.0945,0.0335,0.183
120026,-120.8488835997,35.9530899393,-76.4814061819,-228.9857547642,157.68089294433594,10.0,-76.4814061819,-228.9857547642,0.01,167.68,2017.667,6.82302,0.1043,0.323,919.0,321.0,0.15077,0.03634,0.191,31.3,6.6,2.81557,0.05587,0.236,16.7,4.1,-1.1737,0.0105,0.1025,0.3092,0.0319,0.2352,0.0302,0.1738
230808,-120.9061395872,36.0050749394,-81.5846131535,-223.1623858382,376.9393997192383,-250.0,-81.5846131535,-223.1623858382,-0.25,126.94,2017.667,7.59887,0.17689,0.421,1996.0,959.0,0.25466,0.06438,0.254,37.1,11.8,2.29702,0.08909,0.298,9.9,3.2,-1.1631,0.0132,0.1149,0.3125,0.0363,0.3793,0.0661,0.2571
433145,-120.8055078516,35.9562405454,-72.5705274141,-228.6698154444,621.015869140625,-260.0,-72.5705274141,-228.6698154444,-0.26,361.02,2017.667,8.36478,0.21685,0.466,4293.0,2355.0,0.34865,0.06393,0.253,42.8,13.3,1.70301,0.10699,0.327,5.5,1.9,-1.0909,0.013,0.114,0.3359,0.0387,0.3148,0.0694,0.2634
120789,-120.8367383902,35.9530899393,-75.3871944349,-228.9954821378,726.9305419921875,-460.0,-75.3871944349,-228.9954821378,-0.46,266.93,2017.667,8.81227,0.12621,0.355,6716.0,2624.0,0.53419,0.05718,0.239,56.0,15.6,1.30774,0.0687,0.262,3.7,1.0,-1.118,0.0113,0.1063,0.3269,0.035,0.04,0.0255,0.1597
408126,-120.7916276122,35.9656923636,-71.3112775044,-227.6302344914,554.1162109375,-160.0,-71.3112775044,-227.6302344914,-0.16,394.12,2017.667,8.02952,0.30419,0.552,3070.0,2131.0,0.29136,0.06656,0.258,39.3,12.7,1.96421,0.14595,0.382,7.1,3.0,-1.118,0.0139,0.1179,0.3269,0.0389,0.3343,0.0721,0.2685
151161,-120.8610288091,35.9751441818,-77.5533634247,-226.5256325989,668.9291687011719,-490.0,-77.5533634247,-226.5256325989,-0.49,178.93,2017.667,8.70321,0.14419,0.38,6022.0,2549.0,0.49433,0.06084,0.247,52.9,15.5,1.39244,0.07702,0.278,4.0,1.2,-1.1071,0.0111,0.1054,0.3305,0.0351,0.0743,0.0283,0.1682
332429,-120.817653061,35.938912212,-73.6813012068,-230.5856386058,926.8943786621094,-590.0,-73.6813012068,-230.5856386058,-0.59,336.89,2017.667,8.84134,0.28695,0.536,6914.0,4601.0,0.65838,0.06559,0.256,66.2,19.8,1.28697,0.13783,0.371,3.6,1.5,-1.1509,0.0128,0.1131,0.3164,0.0361,0.1498,0.0691,0.2629
29834,-120.8749090485,35.9357616059,-78.8439077413,-230.889614245,566.8049011230469,-380.0,-78.8439077413,-230.889614245,-0.38,186.8,2017.667,7.64839,0.16526,0.407,2097.0,966.0,0.41871,0.05913,0.243,47.5,13.8,2.12105,0.08523,0.292,8.3,2.6,-1.0632,0.0113,0.1063,0.3453,0.037,0.3268,0.0513,0.2265
297364,-120.7881575523,35.9152826665,-71.0452545547,-233.233382542,836.3169860839844,-510.0,-71.0452545547,-233.233382542,-0.51,326.32,2017.667,8.94942,0.23012,0.48,7703.0,4396.0,0.54116,0.06692,0.259,56.5,17.5,1.23103,0.11431,0.338,3.4,1.3,-1.0959,0.0136,0.1166,0.3342,0.0394,0.1899,0.0485,0.2202
130328,-120.8801141383,35.9562405454,-79.2918382433,-228.6100640282,-24.299087524414062,160.0,-79.2918382433,-228.6100640282,0.16,135.7,2017.667,5.85407,0.1496,0.387,349.0,151.0,-0.01871,0.05184,0.228,23.0,6.8,3.53988,0.08013,0.283,34.5,10.4,-1.1002,0.0139,0.1179,0.3328,0.0396,0.668,0.025,0.1581
196785,-120.8523536595,36.0098008485,-76.7373912077,-222.6822283218,589.4026184082031,-280.0,-76.7373912077,-222.6822283218,-0.28,309.4,2017.667,8.6511,0.15172,0.39,5716.0,2496.0,0.40987,0.06481,0.255,46.9,14.5,1.48077,0.07901,0.281,4.4,1.3,-1.1065,0.0123,0.1109,0.3307,0.037,0.1889,0.0525,0.2291
118286,-120.8575587493,35.9562405454,-77.2598190268,-228.6286862111,562.0782165527344,-380.0,-77.2598190268,-228.6286862111,-0.38,182.08,2017.667,8.77134,0.12408,0.352,6447.0,2493.0,0.55611,0.01069,0.103,57.7,4.5,1.29323,0.06126,0.248,3.6,0.9,-1.0532,0.0108,0.1039,0.3488,0.0365,0.1067,0.0297,0.1723
99663,-120.9148147368,35.987746606,-82.3842365535,-225.0801098048,493.7911987304688,-310.0,-82.3842365535,-225.0801098048,-0.31,183.79,2017.667,7.38239,0.18364,0.429,1607.0,791.0,0.31839,0.06499,0.255,40.9,13.0,2.41099,0.09302,0.305,11.1,3.6,-1.1556,0.0123,0.1109,0.3149,0.0352,0.3995,0.0581,0.241
263375,-120.8332683304,35.8900778179,-75.1360916314,-235.9988103289,389.0433654785156,-200.0,-75.1360916314,-235.9988103289,-0.2,189.04,2017.667,7.39854,0.29981,0.548,1634.0,1122.0,0.32659,0.06566,0.256,41.4,13.2,2.39561,0.14389,0.379,11.0,4.6,-1.1601,0.0138,0.1175,0.3135,0.0372,0.3738,0.072,0.2683
313619,-120.8332683304,35.9137073634,-75.113018388,-233.3736248308,212.8422393798828,40.0,-75.113018388,-233.3736248308,0.04,252.84,2017.667,6.95662,0.15976,0.4,1050.0,473.0,0.1296,0.06293,0.251,30.2,9.8,2.76592,0.08237,0.287,15.9,4.9,-1.1731,0.0117,0.1082,0.3094,0.0338,0.3787,0.0612,0.2474
271901,-120.817653061,35.894803727,-73.7235645259,-235.4860345895,242.91159057617188,10.0,-73.7235645259,-235.4860345895,0.01,252.91,2017.667,6.8159,0.1782,0.422,912.0,440.0,0.1508,0.06592,0.257,31.3,10.5,2.85446,0.09008,0.3,17.4,5.6,-1.1773,0.0125,0.1118,0.3081,0.0348,0.393,0.0681,0.261
34159,-120.864498869,35.9341863029,-77.9073988692,-231.0732351854,210.88966369628903,-60.0,-77.9073988692,-231.0732351854,-0.06,150.89,2017.667,7.17844,0.12373,0.352,1311.0,506.0,0.15734,0.05322,0.231,31.6,9.0,2.64829,0.06597,0.257,14.1,3.8,-1.2537,0.0107,0.1034,0.2854,0.0298,0.2731,0.0527,0.2296
314286,-120.8454135398,35.9168579695,-76.2046696925,-233.0139054708,725.1175537109375,-580.0,-76.2046696925,-233.0139054708,-0.58,145.12,2017.667,8.78298,0.16075,0.401,6522.0,2952.0,0.58695,0.06302,0.251,60.2,17.7,1.35482,0.08453,0.291,3.9,1.2,-1.125,0.0121,0.11,0.3247,0.036,0.2558,0.0339,0.1841
287581,-120.8141830012,35.9121320604,-73.3941619564,-233.5635860193,639.4454345703125,-330.0,-73.3941619564,-233.5635860193,-0.33,309.45,2017.667,8.15602,0.25196,0.502,3484.0,2116.0,0.44541,0.0612,0.247,49.4,14.6,1.78542,0.12237,0.35,6.0,2.3,-1.0719,0.013,0.114,0.3424,0.0394,0.3055,0.0673,0.2594
420011,-120.8228581508,35.9467887272,-74.142741377,-229.7064970992,672.2516174316406,-380.0,-74.142741377,-229.7064970992,-0.38,292.25,2017.667,9.00707,0.13193,0.363,8161.0,3274.0,0.48118,0.06073,0.246,52.0,15.2,1.17255,0.07064,0.266,3.2,0.9,-1.0746,0.0115,0.1072,0.3414,0.0369,0.045,0.0387,0.1967
12354,-120.8332683304,35.9074061513,-75.1191712841,-234.0736778444,455.6573791503906,-220.0,-75.1191712841,-234.0736778444,-0.22,235.66,2017.667,7.60242,0.26624,0.516,2003.0,1264.0,0.34403,0.06383,0.253,42.5,13.2,2.23088,0.12909,0.359,9.3,3.7,-1.1271,0.0133,0.1153,0.324,0.0377,0.358,0.0719,0.2681
239088,-120.9130797069,36.0082255455,-82.2060788647,-222.8063479198,194.9234085083008,-70.0,-82.2060788647,-222.8063479198,-0.07,124.92,2017.667,7.29652,0.19293,0.439,1475.0,749.0,0.0784,0.05834,0.242,27.6,8.6,2.52187,0.09552,0.309,12.5,4.1,-1.1074,0.0134,0.1158,0.3304,0.0386,0.3899,0.0665,0.2579
345759,-120.795097672,35.8979543331,-71.6869741417,-235.1533070454,450.5264892578125,-130.0,-71.6869741417,-235.1533070454,-0.13,320.53,2017.667,7.38114,0.17364,0.417,1605.0,763.0,0.22832,0.06603,0.257,35.5,11.7,2.46606,0.08752,0.296,11.8,3.7,-1.1911,0.0135,0.1162,0.3039,0.0357,0.3734,0.0705,0.2655
86108,-120.8853192281,35.9767194848,-79.7395184355,-226.3304638328,722.3946228027344,-590.0,-79.7395184355,-226.3304638328,-0.59,132.39,2017.667,8.83772,0.12179,0.349,6889.0,2635.0,0.48523,0.05983,0.245,52.3,15.1,1.38133,0.06783,0.26,4.0,1.1,-1.1771,0.0119,0.1091,0.3082,0.0339,0.1869,0.0211,0.1453
13328,-120.8436785099,35.9074061513,-76.0576247421,-234.0653780764,346.45965576171875,-200.0,-76.0576247421,-234.0653780764,-0.2,146.46,2017.667,7.42241,0.26025,0.51,1673.0,1039.0,0.31991,0.06379,0.253,41.0,12.8,2.37129,0.12638,0.355,10.7,4.2,-1.1463,0.013,0.114,0.3178,0.0366,0.3654,0.0715,0.2674
400520,-120.7742773129,35.9593911514,-69.7540831221,-228.3432193514,467.1952819824219,-80.0,-69.7540831221,-228.3432193514,-0.08,387.2,2017.667,7.81019,0.30355,0.551,2466.0,1709.0,0.24764,0.06807,0.261,36.7,12.2,2.14266,0.14557,0.382,8.5,3.6,-1.142,0.0141,0.1187,0.3192,0.0383,0.3505,0.0719,0.2681
179106,-120.8766440785,35.9924725151,-78.9419980679,-224.5875249191,635.3512115478516,-490.0,-78.9419980679,-224.5875249191,-0.49,145.35,2017.667,8.96041,0.14136,0.376,7789.0,3257.0,0.51678,0.06305,0.251,54.6,16.3,1.26148,0.07655,0.277,3.5,1.0,-1.1704,0.0119,0.1091,0.3102,0.0341,0.0672,0.0244,0.1562
15975,-120.8575587493,35.9137073634,-77.302562338,-233.354100014,646.40966796875,-460.0,-77.302562338,-233.354100014,-0.46,186.41,2017.667,7.92569,0.2231,0.472,2767.0,1547.0,0.49409,0.06348,0.252,52.9,15.9,1.89846,0.11108,0.333,6.7,2.4,-1.0537,0.0123,0.1109,0.3486,0.039,0.2854,0.0517,0.2274
460984,-120.8003027618,35.9830206969,-72.0764808736,-225.6984516015,820.7283630371094,-510.0,-72.0764808736,-225.6984516015,-0.51,310.73,2017.667,8.89919,0.33372,0.578,7326.0,5448.0,0.59588,0.06924,0.263,60.9,19.1,1.2834,0.15959,0.399,3.6,1.6,-1.1677,0.0139,0.1179,0.3111,0.0371,0.1402,0.0666,0.2581
202876,-120.8714389887,36.0034996364,-78.462030432,-223.3666966141,321.9276580810547,-120.0,-78.462030432,-223.3666966141,-0.12,201.93,2017.667,7.80604,0.24617,0.496,2455.0,1467.0,0.20715,0.06351,0.252,34.3,11.0,2.15642,0.11971,0.346,8.6,3.3,-1.1354,0.0136,0.1166,0.3213,0.0379,0.3526,0.07,0.2646
474157,-120.8315333004,36.0003490303,-74.8721937811,-223.7490105743,319.9460754394531,0.0,-74.8721937811,-223.7490105743,0.0,319.95,2017.667,7.74686,0.29143,0.54,2314.0,1557.0,0.19895,0.06585,0.257,33.9,11.2,2.19498,0.14003,0.374,9.0,3.7,-1.1346,0.0135,0.1162,0.3216,0.0377,0.3416,0.0708,0.2661
36004,-120.8575587493,35.9357616059,-77.2803992703,-230.9038998977,449.8667907714844,-240.0,-77.2803992703,-230.9038998977,-0.24,209.87,2017.667,7.75131,0.14423,0.38,2325.0,984.0,0.28138,0.04066,0.202,38.7,8.8,2.14367,0.07272,0.27,8.5,2.4,-1.1041,0.0119,0.1091,0.3315,0.0365,0.3646,0.0653,0.2555
467250,-120.8245931807,35.9893219091,-74.2579694022,-224.9796211531,461.845947265625,-220.0,-74.2579694022,-224.9796211531,-0.22,241.85,2017.667,7.60676,0.17317,0.416,2012.0,954.0,0.32515,0.0649,0.255,41.3,13.1,2.22673,0.08666,0.294,9.3,2.9,-1.1172,0.0122,0.1105,0.3272,0.0365,0.3511,0.0616,0.2482
169235,-120.8610288091,35.9814453939,-77.5470053025,-225.8255542326,570.3486938476562,-380.0,-77.5470053025,-225.8255542326,-0.38,190.35,2017.667,8.52417,0.13285,0.364,5035.0,2028.0,0.41699,0.06218,0.249,47.4,14.2,1.52457,0.07206,0.268,4.6,1.3,-1.0482,0.0113,0.1063,0.3506,0.0376,0.2187,0.0282,0.1679
301760,-120.7916276122,35.9231591816,-71.350734903,-232.3557025402,603.5967407226562,-290.0,-71.350734903,-232.3557025402,-0.29,313.6,2017.667,8.17684,0.28884,0.537,3558.0,2379.0,0.39265,0.06556,0.256,45.7,14.3,1.80309,0.13902,0.373,6.1,2.5,-1.0846,0.0137,0.117,0.338,0.04,0.3156,0.0713,0.267
